customer_id,customer_name,amount,failure_reason,failed_at,retry_count,customer_tier
CUST1005,Rajat Chaudhary,2961.47,bank_timeout,2026-08-08T08:51:02,2,low
CUST1013,Karan Kapoor,13362.3,expired_card,2026-08-07T12:23:14,1,high
CUST1046,Riya Mehta,7528.2,insufficient_funds,2026-07-24T01:57:22,0,high
CUST1026,Nisha Shah,4868.89,bank_timeout,2026-07-27T06:06:06,1,low
CUST1025,Hema Pillai,5346.32,insufficient_funds,2026-08-04T04:46:59,1,high
CUST1059,Ananya Reddy,11822.26,bank_timeout,2026-08-20T23:10:42,1,high
CUST1044,Gaurav Shah,6111.37,card_declined,2026-07-17T05:47:28,0,high
CUST1037,Aishwarya Patel,4811.65,expired_card,2026-08-12T20:19:29,0,low
CUST9007,Sanya Mehta,-500.0,bank_timeout,2026-08-11T02:49:41,1,low
CUST1072,Kunal Gupta,7621.13,expired_card,2026-07-22T21:43:51,0,high
CUST1004,Rohit Patel,12287.76,insufficient_funds,2026-07-10T06:48:21,0,high
CUST1014,Om Shah,2874.24,bank_timeout,2026-07-08T04:40:10,0,low
CUST1040,Gaurav Reddy,10581.67,expired_card,2026-08-11T16:00:42,3,high
CUST1021,Tarun Joshi,5164.38,insufficient_funds,2026-07-28T06:59:34,2,high
CUST9003,Mohit Shah,99.0,already_refunded,2026-07-09T14:11:03,0,low
CUST1022,Roshni Singh,7062.62,expired_card,2026-07-24T14:57:33,1,high
CUST1048,Rohan Shah,21430.95,insufficient_funds,2026-07-27T00:11:47,2,high
CUST1033,Sneha Rao,3728.43,bank_timeout,2026-07-04T18:47:34,0,low
CUST1060,Nikhil Kumar,2911.79,expired_card,2026-07-16T21:19:14,3,low
CUST1028,Nikhil Bhat,7116.86,card_declined,2026-08-25T03:15:12,0,high
CUST9001,Aman Kumar,2499.0,already_refunded,2026-08-09T17:01:58,0,low
CUST1015,Aarav Singh,6851.59,card_declined,2026-07-30T16:16:35,1,high
CUST1061,Lakshmi Pillai,2077.99,card_declined,2026-08-09T02:29:26,3,low
CUST1017,Bhavna Tiwari,8765.39,insufficient_funds,2026-08-10T09:53:40,0,high
CUST1031,Aditya Agarwal,7173.72,insufficient_funds,2026-08-25T12:57:03,1,high
CUST1020,Karan Malhotra,2792.85,card_declined,2026-07-05T17:49:08,1,low
CUST9008,Rahul Sharma,120.0,insufficient_funds,2026-07-16T06:53:01,2,low
